InstanceType,CPU,Memory,Storage,Cost
linux-f32sv2-lowpriority,32,64,256,0.271
windows-f32sv2-lowpriority,32,64,256,1.042
linux-f48sv2-lowpriority,48,96,384,0.406
windows-f48sv2-lowpriority,48,96,384,1.696
linux-f64sv2-lowpriority,64,128,512,0.541
windows-f64sv2-lowpriority,64,128,512,2.084
linux-f72sv2-lowpriority,72,144,576,0.609
windows-f72sv2-lowpriority,72,144,576,2.344
linux-f2sv2-standard,2,4,16,0.0846
windows-f2sv2-standard,2,4,16,0.163
linux-f4sv2-standard,4,8,32,0.169
windows-f4sv2-standard,4,8,32,0.326
linux-f8sv2-standard,8,16,64,0.338
windows-f8sv2-standard,8,16,64,0.651
linux-f16sv2-standard,16,32,128,0.677
windows-f16sv2-standard,16,32,128,1.302
linux-f32sv2-standard,32,64,256,1.353
windows-f32sv2-standard,32,64,256,2.604
linux-f48sv2-standard,48,96,384,2.03
windows-f48sv2-standard,48,96,384,4.24
linux-f64sv2-standard,64,128,512,2.706
windows-f64sv2-standard,64,128,512,5.209
linux-f72sv2-standard,72,144,576,3.045
windows-f72sv2-standard,72,144,576,5.86
linux-g1-lowpriority,2,28,384,0.11
windows-g1-lowpriority,2,28,384,0.244
linux-g2-lowpriority,4,56,768,0.22
windows-g2-lowpriority,4,56,768,0.488
linux-g3-lowpriority,8,112,1536,0.44
windows-g3-lowpriority,8,112,1536,0.976
linux-g4-lowpriority,16,224,3072,0.88
windows-g4-lowpriority,16,224,3072,1.952
linux-g5-lowpriority,32,448,6144,1.564
windows-g5-lowpriority,32,448,6144,3.512
linux-g1-standard,2,28,384,0.55
windows-g1-standard,2,28,384,0.61
linux-g2-standard,4,56,768,1.1
windows-g2-standard,4,56,768,1.22
linux-g3-standard,8,112,1536,2.2
windows-g3-standard,8,112,1536,2.44
linux-g4-standard,16,224,3072,4.4
windows-g4-standard,16,224,3072,4.88
linux-g5-standard,32,448,6144,7.82
windows-g5-standard,32,448,6144,8.78
linux-gs4-4-standard,4,224,3072,4.4
windows-gs4-4-standard,4,224,3072,4.88
linux-gs4-8-standard,8,224,3072,4.4
windows-gs4-8-standard,8,224,3072,4.88
linux-gs5-8-standard,8,448,6144,7.82
windows-gs5-8-standard,8,448,6144,8.78
linux-gs5-16-standard,16,448,6144,7.82
windows-gs5-16-standard,16,448,6144,8.78
linux-gs1-standard,2,28,56,0.55
windows-gs1-standard,2,28,56,0.61
linux-gs2-standard,4,56,112,1.1
windows-gs2-standard,4,56,112,1.22
linux-gs3-standard,8,112,224,2.2
windows-gs3-standard,8,112,224,2.44
linux-gs4-standard,16,224,448,4.4
windows-gs4-standard,16,224,448,4.88
linux-gs5-standard,32,448,896,7.82
windows-gs5-standard,32,448,896,8.78
linux-hb176-24rs-v4-lowpriority,24,640,3600,1.44
linux-hb176-48rs-v4-lowpriority,48,640,3600,1.44
linux-hb176-96rs-v4-lowpriority,96,640,3600,1.44
linux-hb176-144rs-v4-lowpriority,144,640,3600,1.44
linux-hb176rsv4-lowpriority,176,656,3600,1.44
linux-hb176-24rs-v4-standard,24,640,3600,7.2
linux-hb176-48rs-v4-standard,48,640,3600,7.2
linux-hb176-96rs-v4-standard,96,640,3600,7.2
linux-hb176-144rs-v4-standard,144,640,3600,7.2
linux-hb176rsv4-standard,176,656,3600,7.2
linux-hx176-24rs-lowpriority,24,1300,3600,1.728
linux-hx176-48rs-lowpriority,48,1300,3600,1.728
linux-hx176-96rs-lowpriority,96,1300,3600,1.728
linux-hx176-144rs-lowpriority,144,1300,3600,1.728
linux-hx176rs-lowpriority,176,1300,3600,1.728
linux-hx176-24rs-standard,24,1300,3600,8.64
linux-hx176-48rs-standard,48,1300,3600,8.64
linux-hx176-96rs-standard,96,1300,3600,8.64
linux-hx176-144rs-standard,144,1300,3600,8.64
linux-hx176rs-standard,176,1300,3600,8.64
linux-l8asv3-standard,8,64,80,0.624
windows-l8asv3-standard,8,64,80,0.992
linux-l16asv3-standard,16,128,160,1.248
windows-l16asv3-standard,16,128,160,1.984
linux-l32asv3-standard,32,256,320,2.496
windows-l32asv3-standard,32,256,320,3.968
linux-l48asv3-standard,48,384,480,3.744
windows-l48asv3-standard,48,384,480,5.952
linux-l64asv3-standard,64,512,640,4.992
windows-l64asv3-standard,64,512,640,7.936
linux-l80asv3-standard,80,640,800,6.24
windows-l80asv3-standard,80,640,800,9.92
linux-l4s-standard,4,32,678,0.343
windows-l4s-standard,4,32,678,0.546
linux-l8s-standard,8,64,1388,0.686
windows-l8s-standard,8,64,1388,1.091
linux-l16s-standard,16,128,2807,1.373
windows-l16s-standard,16,128,2807,2.182
linux-l32s-standard,32,256,5630,2.746
windows-l32s-standard,32,256,5630,4.365
linux-l8sv2-lowpriority,8,64,80,0.125
windows-l8sv2-lowpriority,8,64,80,0.397
linux-l16sv2-lowpriority,16,128,160,0.25
windows-l16sv2-lowpriority,16,128,160,0.794
linux-l32sv2-lowpriority,32,256,320,0.499
windows-l32sv2-lowpriority,32,256,320,1.587
linux-l48sv2-lowpriority,48,384,480,0.749
windows-l48sv2-lowpriority,48,384,480,2.381
linux-l64sv2-lowpriority,64,512,640,0.998
windows-l64sv2-lowpriority,64,512,640,3.174
linux-l80sv2-lowpriority,80,640,800,1.248
windows-l80sv2-lowpriority,80,640,800,3.968
linux-l8sv2-standard,8,64,80,0.624
windows-l8sv2-standard,8,64,80,0.992
linux-l16sv2-standard,16,128,160,1.248
windows-l16sv2-standard,16,128,160,1.984
linux-l32sv2-standard,32,256,320,2.496
windows-l32sv2-standard,32,256,320,3.968
linux-l48sv2-standard,48,384,480,3.744
windows-l48sv2-standard,48,384,480,5.952
linux-l64sv2-standard,64,512,640,4.992
windows-l64sv2-standard,64,512,640,7.936
linux-l80sv2-standard,80,640,800,6.24
windows-l80sv2-standard,80,640,800,9.92
linux-l8sv3-standard,8,64,80,0.698
windows-l8sv3-standard,8,64,80,1.066
linux-l16sv3-standard,16,128,160,1.396
windows-l16sv3-standard,16,128,160,2.132
linux-l32sv3-standard,32,256,320,2.792
windows-l32sv3-standard,32,256,320,4.264
linux-l48sv3-standard,48,384,480,4.188
windows-l48sv3-standard,48,384,480,6.396
linux-l64sv3-standard,64,512,640,5.584
windows-l64sv3-standard,64,512,640,8.528
linux-l80sv3-standard,80,640,800,6.98
windows-l80sv3-standard,80,640,800,10.66
linux-m64-lowpriority,64,1024,7168,1.334
windows-m64-lowpriority,64,1024,7168,3.845
windows-m128-lowpriority,128,2048,14336,7.69
linux-m64-standard,64,1000,7168,6.669
windows-m64-standard,64,1000,7168,9.613
windows-m128-standard,128,2000,14336,19.226
linux-m32ls-lowpriority,32,256,1024,0.5746
windows-m32ls-lowpriority,32,256,1024,1.1634
linux-m64ls-lowpriority,64,512,2048,1.083
windows-m64ls-lowpriority,64,512,2048,2.2606
linux-m32ls-standard,32,256,1024,2.873
windows-m32ls-standard,32,256,1024,4.345
linux-m64ls-standard,64,512,2048,5.415
windows-m64ls-standard,64,512,2048,8.359
linux-m64m-lowpriority,64,1792,7168,2.067
windows-m64m-lowpriority,64,1792,7168,5.856
linux-m128m-lowpriority,128,3892,14336,5.3376
windows-m128m-lowpriority,128,3892,14336,14.3256
linux-m64m-standard,64,1750,7168,10.337
windows-m64m-standard,64,1750,7168,14.641
linux-m128m-standard,128,3800,14336,26.688
windows-m128m-standard,128,3800,14336,35.814
linux-m8-2ms-lowpriority,2,219,256,0.3073
windows-m8-2ms-lowpriority,2,219,256,0.843
linux-m8-4ms-lowpriority,4,219,256,0.3073
windows-m8-4ms-lowpriority,4,219,256,0.843
linux-m8ms-lowpriority,8,219,256,0.3073
windows-m8ms-lowpriority,8,219,256,0.843
linux-m16-4ms-lowpriority,4,438,256,0.6146
windows-m16-4ms-lowpriority,4,438,256,1.686
linux-m16-8ms-lowpriority,8,438,256,0.6146
windows-m16-8ms-lowpriority,8,438,256,1.686
linux-m16ms-lowpriority,16,438,512,0.6146
windows-m16ms-lowpriority,16,438,512,1.686
linux-m32-8ms-lowpriority,8,875,1024,1.2292
windows-m32-8ms-lowpriority,8,875,1024,3.371
linux-m32-16ms-lowpriority,16,875,1024,1.2292
windows-m32-16ms-lowpriority,16,875,1024,3.371
linux-m32ms-lowpriority,32,875,1024,1.2292
windows-m32ms-lowpriority,32,875,1024,3.371
linux-m64-16ms-lowpriority,16,1750,2048,2.067
windows-m64-16ms-lowpriority,16,1750,2048,5.856
linux-m64-32ms-lowpriority,32,1750,2048,2.067
windows-m64-32ms-lowpriority,32,1750,2048,5.856
linux-m64ms-lowpriority,64,1792,2048,2.067
windows-m64ms-lowpriority,64,1792,2048,5.856
linux-m128-32ms-lowpriority,32,3800,4096,5.3376
windows-m128-32ms-lowpriority,32,3800,4096,14.3256
linux-m128-64ms-lowpriority,64,3800,4096,5.3376
windows-m128-64ms-lowpriority,64,3800,4096,14.3256
linux-m128ms-lowpriority,128,3892,4096,5.3376
windows-m128ms-lowpriority,128,3892,4096,14.3256
linux-m8-2ms-standard,2,218.75,256,1.5365
windows-m8-2ms-standard,2,218.75,256,2.1069
linux-m8-4ms-standard,4,218.75,256,1.5365
windows-m8-4ms-standard,4,218.75,256,2.1069
linux-m8ms-standard,8,218.75,256,1.5365
windows-m8ms-standard,8,218.75,256,2.1069
linux-m16-4ms-standard,4,437.5,256,3.073
windows-m16-4ms-standard,4,437.5,256,4.2138
linux-m16-8ms-standard,8,437.5,256,3.073
windows-m16-8ms-standard,8,437.5,256,4.2138
linux-m16ms-standard,16,437.5,512,3.073
windows-m16ms-standard,16,437.5,512,4.2138
linux-m32-8ms-standard,8,875,1024,6.146
windows-m32-8ms-standard,8,875,1024,8.4276
linux-m32-16ms-standard,16,875,1024,6.146
windows-m32-16ms-standard,16,875,1024,8.4276
linux-m32ms-standard,32,875,1024,6.146
windows-m32ms-standard,32,875,1024,8.4276
linux-m64-16ms-standard,16,1750,2048,10.337
windows-m64-16ms-standard,16,1750,2048,14.641
linux-m64-32ms-standard,32,1750,2048,10.337
windows-m64-32ms-standard,32,1750,2048,14.641
linux-m64ms-standard,64,1750,2048,10.337
windows-m64ms-standard,64,1750,2048,14.641
linux-m128-32ms-standard,32,3800,4096,26.688
windows-m128-32ms-standard,32,3800,4096,35.814
linux-m128-64ms-standard,64,3800,4096,26.688
windows-m128-64ms-standard,64,3800,4096,35.814
linux-m128ms-standard,128,3800,4096,26.688
windows-m128ms-standard,128,3800,4096,35.814
linux-m64s-lowpriority,64,1024,2048,1.334
windows-m64s-lowpriority,64,1024,2048,3.845
linux-m128-lowpriority,128,2048,14336,2.668
linux-m128s-lowpriority,128,2048,4096,2.668
windows-m128s-lowpriority,128,2048,4096,7.69
linux-m64s-standard,64,1024,2048,6.669
windows-m64s-standard,64,1024,2048,9.613
linux-m128-standard,128,2000,14336,13.338
linux-m128s-standard,128,2000,4096,13.338
windows-m128s-standard,128,2000,4096,19.226
linux-m32ts-lowpriority,32,192,1024,0.541
windows-m32ts-lowpriority,32,192,1024,1.1302
linux-m32ts-standard,32,192,1024,2.707
windows-m32ts-standard,32,192,1024,4.179
linux-m32dmsv2-standard,32,875,1024,6.146
windows-m32dmsv2-standard,32,875,1024,7.618
linux-m64dmsv2-standard,64,1792,2048,10.34
windows-m64dmsv2-standard,64,1792,2048,13.284
linux-m64dsv2-standard,64,1024,2048,6.669
windows-m64dsv2-standard,64,1024,2048,9.613
linux-m128dmsv2-standard,128,3892,4096,26.69
windows-m128dmsv2-standard,128,3892,4096,32.578
linux-m128dsv2-standard,128,2048,4096,13.34
windows-m128dsv2-standard,128,2048,4096,19.228
linux-m192idmsv2-standard,192,4096,4096,32.064
windows-m192idmsv2-standard,192,4096,4096,40.896
linux-m192idsv2-standard,192,2048,4096,16.032
windows-m192idsv2-standard,192,2048,4096,24.864
linux-m32msv2-standard,32,875,0,6.041
windows-m32msv2-standard,32,875,0,7.513
linux-m64msv2-standard,64,1792,0,10.13
windows-m64msv2-standard,64,1792,0,13.073
linux-m64sv2-standard,64,1024,0,6.459
windows-m64sv2-standard,64,1024,0,9.403
linux-m128msv2-standard,128,3892,0,26.269
windows-m128msv2-standard,128,3892,0,32.157
linux-m128sv2-standard,128,2048,0,12.919
windows-m128sv2-standard,128,2048,0,18.807
linux-m192imsv2-standard,192,4096,0,31.643
windows-m192imsv2-standard,192,4096,0,40.476
linux-m192isv2-standard,192,2048,0,15.611
windows-m192isv2-standard,192,2048,0,24.444
linux-m208msv2-lowpriority,208,5700,4096,8.924
windows-m208msv2-lowpriority,208,5700,4096,21.675
linux-m416msv2-lowpriority,416,11400,8192,19.83
windows-m416msv2-lowpriority,416,11400,8192,47.314
linux-m208msv2-standard,208,5700,4096,44.62
windows-m208msv2-standard,208,5700,4096,54.188
linux-m416msv2-standard,416,11400,8192,99.15
windows-m416msv2-standard,416,11400,8192,118.29
linux-m208sv2-lowpriority,208,2850,4096,4.462
windows-m208sv2-lowpriority,208,2850,4096,12.751
linux-m416sv2-lowpriority,416,5700,8192,9.916
windows-m416sv2-lowpriority,416,5700,8192,27.486
linux-m208sv2-standard,208,2850,4096,22.31
windows-m208sv2-standard,208,2850,4096,31.878
linux-m416sv2-standard,416,5700,8192,49.58
windows-m416sv2-standard,416,5700,8192,68.716
linux-nc6-lowpriority,6,56,340,0.18
windows-nc6-lowpriority,6,56,340,0.434
linux-nc12-lowpriority,12,112,680,0.36
windows-nc12-lowpriority,12,112,680,0.867
linux-nc24-lowpriority,24,224,1440,0.72
windows-nc24-lowpriority,24,224,1440,1.734
linux-nc6-standard,6,56,340,0.9
windows-nc6-standard,6,56,340,1.084
linux-nc12-standard,12,112,680,1.8
windows-nc12-standard,12,112,680,2.168
linux-nc24-standard,24,224,1440,3.6
windows-nc24-standard,24,224,1440,4.336
windows-nc24r-lowpriority,24,224,1440,1.908
linux-nc24r-lowpriority,24,224,1440,0.792
linux-nc24r-standard,24,224,1440,3.96
windows-nc24r-standard,24,224,1440,4.77
linux-nc24adsv4-lowpriority,24,220,1123,0.735
windows-nc24adsv4-lowpriority,24,220,1123,1.911
linux-nc48adsv4-lowpriority,48,440,2246,1.469
windows-nc48adsv4-lowpriority,48,440,2246,3.822
linux-nc96adsv4-lowpriority,96,880,4492,2.938
windows-nc96adsv4-lowpriority,96,880,4492,7.643
windows-ng32adsv620v1-lowpriority,96,880,4492,7.643
linux-nc24adsv4-standard,24,220,1123,3.673
windows-nc24adsv4-standard,24,220,1123,4.777
linux-nc48adsv4-standard,48,440,2246,7.346
windows-nc48adsv4-standard,48,440,2246,9.554
linux-nc96adsv4-standard,96,880,4492,14.692
windows-nc96adsv4-standard,96,880,4492,19.108
linux-nc4ast4v3-lowpriority,4,28,180,0.105
windows-nc4ast4v3-lowpriority,4,28,180,0.284
linux-nc8ast4v3-lowpriority,8,56,360,0.15
windows-nc8ast4v3-lowpriority,8,56,360,0.448
linux-nc16ast4v3-lowpriority,16,110,360,0.241
windows-nc16ast4v3-lowpriority,16,110,360,0.776
linux-nc64ast4v3-lowpriority,64,448,2880,0.87
windows-nc64ast4v3-lowpriority,64,448,2880,2.918
linux-nc4ast4v3-standard,4,28,180,0.526
windows-nc4ast4v3-standard,4,28,180,0.71
linux-nc8ast4v3-standard,8,56,360,0.752
windows-nc8ast4v3-standard,8,56,360,1.12
linux-nc16ast4v3-standard,16,110,360,1.204
windows-nc16ast4v3-standard,16,110,360,1.94
linux-nc64ast4v3-standard,64,440,2880,4.352
windows-nc64ast4v3-standard,64,440,2880,7.296
linux-nc6sv3-lowpriority,6,112,736,0.612
windows-nc6sv3-lowpriority,6,112,336,1.33632
linux-nc12sv3-lowpriority,12,224,1474,1.224
windows-nc12sv3-lowpriority,12,224,672,2.67264
linux-nc24sv3-lowpriority,24,448,2948,2.448
windows-nc24sv3-lowpriority,24,448,1344,5.34528
linux-nc6sv3-standard,6,112,736,3.06
windows-nc6sv3-standard,6,112,336,3.3408
linux-nc12sv3-standard,12,224,1474,6.12
windows-nc12sv3-standard,12,224,672,6.6816
linux-nc24sv3-standard,24,448,2948,12.24
windows-nc24sv3-standard,24,448,1344,13.3632
linux-nc24rsv3-lowpriority,24,448,2948,2.6928
windows-nc24rsv3-lowpriority,24,448,1344,5.83488
linux-nc24rsv3-standard,24,448,2948,13.464
windows-nc24rsv3-standard,24,448,1344,14.5872
linux-ng8adsv620v1-lowpriority,8,16,256,0.219
windows-ng8adsv620v1-lowpriority,8,16,256,1.463
linux-ng16adsv620v1-lowpriority,16,32,512,0.438
windows-ng16adsv620v1-lowpriority,16,32,512,1.17
linux-ng32admsv620v1-lowpriority,32,176,1024,1.139
windows-ng32admsv620v1-lowpriority,32,176,1024,2.866
linux-ng32adsv620v1-lowpriority,32,64,1024,0.876
linux-ng8adsv620v1-standard,8,16,256,1.095
windows-ng8adsv620v1-standard,8,16,256,4.777
linux-ng16adsv620v1-standard,16,32,512,2.19
windows-ng16adsv620v1-standard,16,32,512,2.926
linux-ng32admsv620v1-standard,32,176,1024,5.694
windows-ng32admsv620v1-standard,32,176,1024,7.166
linux-ng32adsv620v1-standard,32,64,1024,4.38
windows-ng32adsv620v1-standard,32,64,1024,5.852
linux-nd96amsr-lowpriority,96,1923,6553,6.554
windows-nd96amsr-lowpriority,96,1923,6553,14.874
linux-nd96amsr-standard,96,1900,6400,32.77
windows-nd96amsr-standard,96,1900,6400,37.186
linux-nv6-lowpriority,6,56,340,0.2404
windows-nv6-lowpriority,6,56,340,0.564
linux-nv12-lowpriority,12,112,680,0.4808
windows-nv12-lowpriority,12,112,680,1.1288
linux-nv24-lowpriority,24,224,1440,0.9614
windows-nv24-lowpriority,24,224,1440,2.257
linux-nv6-standard,6,56,340,1.202
windows-nv6-standard,6,56,340,1.411
linux-nv12-standard,12,112,680,2.403
windows-nv12-standard,12,112,680,2.822
linux-nv24-standard,24,224,1440,4.807
windows-nv24-standard,24,224,1440,5.643
linux-nv12sv3-lowpriority,12,112,736,0.228
windows-nv12sv3-lowpriority,12,112,736,0.677
linux-nv24sv3-lowpriority,24,224,1474,0.456
windows-nv24sv3-lowpriority,24,224,1474,1.354
linux-nv48sv3-lowpriority,48,448,2948,0.912
windows-nv48sv3-lowpriority,48,448,2948,2.707
linux-nv12sv3-standard,12,112,736,1.14
windows-nv12sv3-standard,12,112,736,1.692
linux-nv24sv3-standard,24,224,1474,2.28
windows-nv24sv3-standard,24,224,1474,3.384
linux-nv48sv3-standard,48,448,2948,4.56
windows-nv48sv3-standard,48,448,2948,6.768
linux-nv4asv4-lowpriority,4,14,88,0.0466
windows-nv4asv4-lowpriority,4,14,88,0.167
linux-nv8asv4-lowpriority,8,28,176,0.0932
windows-nv8asv4-lowpriority,8,28,176,0.334
linux-nv16asv4-lowpriority,16,56,352,0.186
windows-nv16asv4-lowpriority,16,56,352,0.667
linux-nv32asv4-lowpriority,32,112,700,0.373
windows-nv32asv4-lowpriority,32,112,700,1.334
linux-nv4asv4-standard,4,14,88,0.233
windows-nv4asv4-standard,4,14,88,0.417
linux-nv8asv4-standard,8,28,176,0.466
windows-nv8asv4-standard,8,28,176,0.834
linux-nv16asv4-standard,16,56,352,0.932
windows-nv16asv4-standard,16,56,352,1.668
linux-nv32asv4-standard,32,112,700,1.864
windows-nv32asv4-standard,32,112,700,3.336
linux-nv6adsv5-lowpriority,6,55,180,0.0908
windows-nv6adsv5-lowpriority,6,55,180,0.292
linux-nv12adsv5-lowpriority,12,110,320,0.182
windows-nv12adsv5-lowpriority,12,110,320,0.584
linux-nv18adsv5-lowpriority,18,220,720,0.32
windows-nv18adsv5-lowpriority,18,220,720,0.971
linux-nv36admsv5-lowpriority,36,880,720,0.904
windows-nv36admsv5-lowpriority,36,880,720,2.47
linux-nv36adsv5-lowpriority,36,440,720,0.64
windows-nv36adsv5-lowpriority,36,440,720,1.942
linux-nv72adsv5-lowpriority,72,880,1400,1.304
windows-nv72adsv5-lowpriority,72,880,1400,3.933
linux-nv6adsv5-standard,6,55,180,0.454
windows-nv6adsv5-standard,6,55,180,0.73
linux-nv12adsv5-standard,12,110,320,0.908
windows-nv12adsv5-standard,12,110,320,1.46
linux-nv18adsv5-standard,18,220,720,1.6
windows-nv18adsv5-standard,18,220,720,2.428
linux-nv36admsv5-standard,36,880,720,4.52
windows-nv36admsv5-standard,36,880,720,6.176
linux-nv36adsv5-standard,36,440,720,3.2
windows-nv36adsv5-standard,36,440,720,4.856
linux-nv72adsv5-standard,72,880,1400,6.52
windows-nv72adsv5-standard,72,880,1400,9.832
