vendor,instance_type,vcpu,memory_gib,cost_in_dollars
AWS,t2.micro,1,1,0.0116
AWS,t2.small,1,2,0.023
AWS,t2.medium,2,4,0.0464
AWS,t3.micro,2,1,0.0104
AWS,t3.small,2,2,0.0208
AWS,t3.medium,2,4,0.0416
AWS,m5.large,2,8,0.096
AWS,m5.xlarge,4,16,0.192
AWS,m5.2xlarge,8,32,0.384
AWS,m5.4xlarge,16,64,0.768
AWS,c5.large,2,4,0.085
AWS,c5.xlarge,4,8,0.17
AWS,c5.2xlarge,8,16,0.34
AWS,c5.4xlarge,16,32,0.68
AWS,r5.large,2,16,0.126
AWS,r5.xlarge,4,32,0.252
AWS,r5.2xlarge,8,64,0.504
AWS,r5.4xlarge,16,128,1.008
AWS,z1d.large,2,16,0.193
AWS,z1d.xlarge,4,32,0.386
AWS,z1d.2xlarge,8,64,0.772
AWS,z1d.3xlarge,12,96,1.158
AWS,g4dn.xlarge,4,16,0.526
AWS,g4dn.2xlarge,8,32,1.052
AWS,g4dn.4xlarge,16,64,2.104
AWS,g4dn.8xlarge,32,128,4.208
GCP,f1-micro,1,0.6,0.0072
GCP,g1-small,1,1.7,0.0256
GCP,n1-standard-1,1,3.75,0.0475
GCP,n1-standard-2,2,7.5,0.095
GCP,n1-standard-4,4,15,0.19
GCP,n1-standard-8,8,30,0.38
GCP,n1-standard-16,16,60,0.76
GCP,n1-highmem-2,2,13,0.1184
GCP,n1-highmem-4,4,26,0.2368
GCP,n1-highmem-8,8,52,0.4736
GCP,n1-highmem-16,16,104,0.9472
GCP,n1-highcpu-2,2,1.8,0.0704
GCP,n1-highcpu-4,4,3.6,0.1408
GCP,n1-highcpu-8,8,7.2,0.2816
GCP,n1-highcpu-16,16,14.4,0.5632
EKS,ng-t2.micro,1,1,0.0116
EKS,ng-t2.small,1,2,0.023
EKS,ng-t2.medium,2,4,0.0464
EKS,ng-t3.micro,2,1,0.0104
EKS,ng-t3.small,2,2,0.0208
EKS,ng-t3.medium,2,4,0.0416
EKS,ng-m5.large,2,8,0.096
EKS,ng-m5.xlarge,4,16,0.192
EKS,ng-m5.2xlarge,8,32,0.384
EKS,ng-m5.4xlarge,16,64,0.768
EKS,ng-c5.large,2,4,0.085
EKS,ng-c5.xlarge,4,8,0.17
EKS,ng-c5.2xlarge,8,16,0.34
EKS,ng-c5.4xlarge,16,32,0.68
EKS,ng-r5.large,2,16,0.126
EKS,ng-r5.xlarge,4,32,0.252
EKS,ng-r5.2xlarge,8,64,0.504
EKS,ng-r5.4xlarge,16,128,1.008
EKS,ng-z1d.large,2,16,0.193
EKS,ng-z1d.xlarge,4,32,0.386
EKS,ng-z1d.2xlarge,8,64,0.772
EKS,ng-z1d.3xlarge,12,96,1.158